"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","40000000","56000000","64000000","40000000","56000000","91000000","198000000","230000000","145000000","92000000","9000000","149000000","124000000","","","90000000","230000000","75000000","283000000","363000000","355000000","385000000","298000000","239000000","380000000","165000000","299000000","575000000","1065000000","2176000000","1900000000","1438000000","","","","","","","","","","","34000000","","","35000000","3000000","41000000","150000000","344000000","377000000","660000000","521000000","235000000","288000000","116000000","176000000","250000000",
"Angola","AGO","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","1000000","242000000","184000000","105000000","146000000","111000000","155000000","241000000","379000000","538000000","430000000","493000000","705000000","1186000000","965000000","152000000","140000000","","","122000000","111000000","1000000","44000000","7000000","149000000","358000000","147000000","156000000","148000000","48000000","8000000","39000000","7000000","31000000","29000000","20000000","","","","31000000","2000000","47000000","124000000","204000000",
"Albania","ALB","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","62000000","74000000","46000000","11000000","7000000","177000000","74000000","161000000","265000000","297000000","250000000","330000000","134000000","104000000","134000000","53000000","5000000","7000000","5000000","","","","","","","","","","","","","","","","","26000000","","","","","","","","2000000","","7000000","","5000000","","","","","15000000","7000000","7000000","7000000","","0",
"Andorra","AND","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","539000000","792000000","1260000000","1239000000","1526000000","1929000000","3469000000","4725000000","3416000000","3840000000","4300000000","3934000000","6574000000","9237000000","9030000000","6343000000","5746000000","9642000000","11639000000","11553000000","11966000000","13503000000","16399000000","13742000000","12312000000","10701000000","10314000000","10019000000","5483000000","5746000000","6478000000","4442000000","3684000000","5311000000","4166000000","4768000000","5360000000","6108000000","4940000000","3479000000","2769000000","2165000000","2973000000","2406000000","4157000000","4523000000","4271000000","3316000000","4161000000","4053000000","5138000000","7310000000","5869000000","6738000000","7337000000","9861000000","12909000000","11535000000",
"United Arab Emirates","ARE","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","13000000","13000000","69000000","24000000","26000000","93000000","106000000","144000000","270000000","294000000","207000000","18000000","203000000","430000000","159000000","164000000","312000000","128000000","137000000","199000000","42000000","652000000","559000000","235000000","201000000","579000000","566000000","419000000","480000000","688000000","758000000","437000000","247000000","186000000","222000000","685000000","1211000000","2171000000","2023000000","919000000","753000000","561000000","607000000","1210000000","1088000000","2241000000","746000000","1249000000","1286000000","848000000",
"Argentina","ARG","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","111000000","205000000","48000000","19000000","19000000","7000000","93000000","146000000","430000000","223000000","248000000","369000000","396000000","236000000","450000000","147000000","494000000","176000000","559000000","451000000","445000000","867000000","421000000","1322000000","685000000","450000000","229000000","224000000","71000000","14000000","169000000","","27000000","14000000","209000000","43000000","28000000","105000000","172000000","267000000","213000000","6000000","15000000","11000000","169000000","3000000","9000000","24000000","23000000","11000000","11000000","15000000","3000000","12000000","7000000","21000000","17000000","49000000",
"Armenia","ARM","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000000","181000000","47000000","70000000","","","2000000","","","","","118000000","","","1000000","","46000000","52000000","5000000","","16000000","","","110000000","14000000",
"American Samoa","ASM","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","113000000","40000000","571000000","383000000","528000000","900000000","694000000","764000000","450000000","828000000","240000000","319000000","60000000","701000000","884000000","96000000","81000000","268000000","1019000000","191000000","404000000","449000000","131000000","633000000","626000000","515000000","819000000","592000000","720000000","693000000","352000000","213000000","365000000","449000000","262000000","64000000","597000000","35000000","542000000","673000000","338000000","1236000000","663000000","801000000","472000000","459000000","727000000","677000000","445000000","775000000","1509000000","1567000000","876000000","244000000","927000000","1529000000","1053000000","1806000000",
"Austria","AUT","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","16000000","27000000","56000000","201000000","73000000","78000000","61000000","47000000","1000000","12000000","102000000","135000000","103000000","22000000","22000000","6000000","12000000","","8000000","72000000","195000000","73000000","97000000","145000000","13000000","28000000","19000000","7000000","117000000","84000000","5000000","6000000","5000000","9000000","40000000","24000000","10000000","182000000","228000000","48000000","25000000","15000000","69000000","42000000","56000000","24000000","4000000","269000000","190000000","286000000","7000000","8000000","8000000","6000000","2000000","1000000","13000000","8000000",
"Azerbaijan","AZE","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50000000","25000000","","","","","","3000000","","89000000","","4000000","53000000","159000000","213000000","33000000","145000000","155000000","557000000","339000000","404000000","612000000","340000000","272000000","279000000",
"Burundi","BDI","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","5000000","2000000","","3000000","","","","0","","","","","","","1000000","5000000","3000000","9000000","2000000","","","","","6000000","6000000","","","","","","","","","","","1000000","3000000","","","","","","","1000000","2000000","","5000000","","","1000000","2000000","",
"Belgium","BEL","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","92000000","132000000","188000000","569000000","644000000","507000000","101000000","35000000","216000000","232000000","528000000","509000000","512000000","599000000","111000000","128000000","177000000","180000000","427000000","786000000","574000000","522000000","438000000","583000000","575000000","294000000","98000000","106000000","422000000","218000000","321000000","134000000","49000000","77000000","50000000","17000000","3000000","53000000","55000000","58000000","35000000","29000000","56000000","21000000","15000000","3000000","27000000","174000000","203000000","90000000","32000000","21000000","32000000","46000000","103000000","56000000","4000000","3000000",
"Benin","BEN","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","2000000","1000000","","2000000","","1000000","","","","0","2000000","","1000000","","","","","26000000","7000000","","","10000000","3000000","1000000","3000000","","1000000","0","0","","","","","","","","","","","","","7000000","","","","","3000000","","1000000","0","0","20000000","2000000","","","","",
"Burkina Faso","BFA","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","1000000","","","1000000","0","0","","0","1000000","1000000","1000000","","","","8000000","8000000","9000000","","","0","9000000","1000000","16000000","9000000","2000000","2000000","","12000000","","","2000000","","7000000","","","","","","0","","","","","","12000000","1000000","4000000","","2000000","0","15000000","4000000","","5000000","","7000000","2000000",
"Bangladesh","BGD","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","9000000","2000000","78000000","44000000","39000000","70000000","62000000","45000000","1000000","55000000","62000000","127000000","112000000","59000000","63000000","3000000","","241000000","301000000","187000000","79000000","113000000","44000000","61000000","119000000","7000000","26000000","1000000","186000000","203000000","266000000","44000000","8000000","32000000","10000000","221000000","88000000","13000000","","36000000","117000000","184000000","637000000","206000000","637000000","439000000","320000000",
"Bulgaria","BGR","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","474000000","523000000","494000000","538000000","326000000","372000000","218000000","329000000","250000000","532000000","765000000","395000000","465000000","290000000","305000000","394000000","375000000","492000000","885000000","322000000","574000000","961000000","575000000","728000000","910000000","598000000","918000000","435000000","243000000","334000000","759000000","340000000","41000000","1000000","1000000","1000000","122000000","","","7000000","","","","2000000","12000000","132000000","22000000","48000000","116000000","119000000","8000000","29000000","5000000","","","3000000","","",
"Bahrain","BHR","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","1000000","1000000","","","","","0","7000000","0","1000000","","","2000000","9000000","8000000","19000000","40000000","59000000","10000000","131000000","55000000","134000000","250000000","137000000","71000000","362000000","68000000","42000000","1000000","8000000","71000000","54000000","198000000","9000000","","299000000","28000000","54000000","1000000","10000000","66000000","63000000","26000000","20000000","","103000000","1000000","26000000","72000000","1000000","17000000","16000000","32000000",
"Bahamas, The","BHS","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","11000000","","","","","","","","33000000","","","","2000000","3000000","","","","","","","","","33000000","","","","","3000000","","","","1000000","","","","","30000000","16000000","20000000","12000000",
"Bosnia and Herzegovina","BIH","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000000","6000000","","58000000","70000000","2000000","25000000","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41000000","41000000","","","","","","6000000","140000000","","","3000000","","75000000","75000000","75000000","60000000","96000000","115000000","145000000",
"Belize","BLZ","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","1000000","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","6000000","4000000","2000000","4000000","2000000","1000000","1000000","14000000","16000000","1000000","2000000","2000000","13000000","10000000","20000000","33000000","16000000","1000000","11000000","49000000","39000000","26000000","6000000","","","18000000","13000000","","56000000","66000000","","11000000","25000000","16000000","9000000","2000000","","","","9000000","19000000","","","5000000","1000000","1000000","9000000","2000000","3000000","5000000","1000000","25000000","12000000","1000000","46000000","","27000000","7000000",
"Brazil","BRA","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","237000000","212000000","62000000","128000000","25000000","150000000","57000000","218000000","236000000","110000000","219000000","181000000","514000000","602000000","256000000","539000000","582000000","554000000","895000000","407000000","367000000","64000000","75000000","92000000","125000000","89000000","140000000","234000000","129000000","745000000","150000000","168000000","90000000","58000000","313000000","248000000","545000000","473000000","239000000","365000000","121000000","631000000","223000000","110000000","86000000","224000000","179000000","189000000","180000000","156000000","317000000","312000000","311000000","223000000","218000000","222000000","116000000","103000000",
"Barbados","BRB","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","","","","","9000000","","","1000000","","","","","","","","","","","","","","","","","","","","","","","10000000","10000000","10000000","","","","","","","","",
"Brunei Darussalam","BRN","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","5000000","1000000","18000000","1000000","","5000000","18000000","2000000","1000000","15000000","1000000","0","","46000000","65000000","","8000000","12000000","85000000","60000000","","13000000","","","","3000000","3000000","","","","","17000000","31000000","7000000","5000000","","4000000","1000000","0","0","1000000","2000000","","","33000000","33000000","229000000","22000000","15000000","122000000","36000000","","",
"Bhutan","BTN","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","1000000","1000000","",
"Botswana","BWA","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","","","","","","","","","","","","","","","","","1000000","1000000","7000000","2000000","9000000","","","","4000000","","26000000","40000000","4000000","22000000","2000000","2000000","11000000","","11000000","32000000","71000000","2000000","","53000000","15000000","1000000","9000000","8000000","","","","","13000000","10000000","","6000000","8000000","","","5000000","3000000",
"Central African Republic","CAF","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","","2000000","","","","1000000","2000000","","3000000","","","2000000","","0","","","","","0","","0","1000000","2000000","5000000","1000000","6000000","","","1000000","","","","1000000","","","","","","","","","","","","","","9000000","","0","","","7000000","","","","","","",
"Canada","CAN","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","171000000","1576000000","1231000000","1012000000","728000000","527000000","273000000","243000000","324000000","504000000","611000000","455000000","382000000","80000000","196000000","223000000","28000000","28000000","172000000","235000000","441000000","452000000","274000000","647000000","646000000","848000000","810000000","787000000","742000000","67000000","160000000","751000000","410000000","201000000","482000000","411000000","431000000","362000000","129000000","196000000","569000000","538000000","436000000","152000000","352000000","124000000","104000000","455000000","407000000","101000000","228000000","344000000","205000000","202000000","325000000","421000000","228000000","295000000",
"Central Europe and the Baltics","CEB","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","2064000000","1988000000","1667000000","2145000000","3056000000","2712000000","1750000000","1807000000","1990000000","2338000000","2308000000","2069000000","1965000000","2305000000","2646000000","2521000000","1838000000","2165000000","2888000000","2583000000","2582000000","2394000000","1889000000","1658000000","1864000000","2077000000","2827000000","1750000000","1367000000","1167000000","1649000000","590000000","386000000","1164000000","184000000","474000000","529000000","218000000","242000000","275000000","235000000","261000000","370000000","547000000","695000000","1328000000","915000000","1437000000","1015000000","454000000","398000000","350000000","309000000","291000000","334000000","240000000","","459000000",
